,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,February,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,BUDGET DASHBOARD,,,,,"$2,030.00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,OVERVIEW,,,,BILLS,,,,,,EXPENSES,,,,,DEBT,,,,
,,,,,,,,,,,,,,,,,,,,
,Start Date,01/02/2025,,,,,Due,Budget,Actual,,,Budget,Actual,Left,,,,Due,Budget,Actual
,End Date,28/02/2025,,,TRUE,House Rent,1,$100.00,$100.00,,Groceries,$200.00,$100.00,$100.00,,TRUE,Phone emi,2,$30.00,$30.00
,Change Currency,$,,,TRUE,Electricity,2,$180.00,$150.00,,Dining out,$800.00,$500.00,$300.00,,TRUE,Credit card 1,3,$200.00,$160.00
,Start Balance,$500.00,,,TRUE,Phone,4,$125.00,$125.00,,Shopping,"$1,500.00","$1,000.00",$500.00,,TRUE,Credit card 2,4,$200.00,$150.00
,,,,,TRUE,Netflix,5,$90.00,$90.00,,Transports,$180.00,$130.00,$50.00,,TRUE,Student Loan,5,$250.00,$250.00
,CASH FLOW,,,,TRUE,Amazon,5,$100.00,$100.00,,Skin care,$200.00,$130.00,$70.00,,FALSE,,,,
,,,,,TRUE,Gas,7,$150.00,$150.00,,Misc,$200.00,$0.00,$200.00,,FALSE,,,,
,,Budget,Actual,,FALSE,,,,,,,,,$0.00,,FALSE,,,,
,Start Balance,$500.00,$500.00,,FALSE,,,,,,,,,$0.00,,FALSE,,,,
,Income,"$5,078.00","$5,078.00",,FALSE,,,,,,,,,$0.00,,FALSE,,,,
,Savings,$480.00,$383.00,,FALSE,,,,,,,,,$0.00,,FALSE,,,,
,Bills & Expenses,"$3,825.00","$2,575.00",,FALSE,,,,,,,,,$0.00,,FALSE,,,,
,Debt,$680.00,$590.00,,FALSE,,,,,,,,,$0.00,,FALSE,,,,
,LEFT,$593.00,"$2,030.00",,FALSE,,,,,,,,,$0.00,,FALSE,,,,
,SPENT,29.21%,70.79%,,,,,,,,,,,$0.00,,FALSE,,,,
,INCOME,,,,,,,,,,,,,$0.00,,FALSE,,,,
,,,,,,,,,,,,,,$0.00,,FALSE,,,,
,,Budget,Actual,,,,,,,,,,,$0.00,,FALSE,,,,
,Paychecks,"$5,000.00","$5,000.00",,,,,,,,,,,$0.00,,,,,,
,Bonus,$60.00,$60.00,,,,,,,,,,,$0.00,,,,,,
,Gifts,$18.00,$18.00,,,,,,,,,,,$0.00,,,,,,
,,,,,,,,,,,,,,$0.00,,,,,,
,TOTAL,"$5,078.00","$5,078.00",,,,,,,,,,,$0.00,,,,,,
,,,,,,,,,,,,,,$0.00,,,,,,
,,,,,,,,,,,,,,$0.00,,,,,,
,SAVINGS,,,,,,,,,,,,,$0.00,,,,,,
,,,,,,,,,,,,,,$0.00,,,,,,
,,Budget,Actual,,,,,,,,,,,$0.00,,,,,,
,House,$100.00,$78.00,,,,,,,,,,,$0.00,,,,,,
,Vacation,$180.00,$150.00,,,,,,,,,,,$0.00,,,,,,
,Wedding,$200.00,$155.00,,,,,,,,,,,$0.00,,,,,,
,,,,,,,,,,,,,,$0.00,,,,,,
,TOTAL,$480.00,$383.00,,,TOTAL,,$745.00,$715.00,,TOTAL,"$3,080.00","$1,860.00","$1,220.00",,,TOTAL,,$680.00,$590.00
,,,,,,,,,,,,,,,,,,,,
,EXPENSE TRACKER,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Date,Category,Amount,Notes,,,,,,,,,,,,,,,,
,01/02/2025,Groceries,$100.00,,,,,,,,,,,,,,,,,
,05/02/2025,Dining out,$500.00,,,,,,,,,,,,,,,,,
,06/02/2025,Shopping,"$1,000.00",,,,,,,,,,,,,,,,,
,08/02/2025,Transports,$30.00,,,,,,,,,,,,,,,,,
,10/02/2025,Skin care,$60.00,,,,,,,,,,,,,,,,,
,12/02/2025,Skin care,$70.00,,,,,,,,,,,,,,,,,
,20/02/2025,Transports,$100.00,,,,,,,,,,,,,,,,,
,,Groceries,,,,,,SPENDING BREAKDOWN,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Category,Amount,%,,,,,,,,,,
,,,,,,,,Shopping,"$1,000.00",2818.49%,,"$3,548.00",,,,,,,,
,,,,,,,,Netflix,$90.00,253.66%,,,,,,,,,,
,,,,,,,,House Rent,$100.00,281.85%,,,,,,,,,,
,,,,,,,,Transports,$130.00,366.40%,,,,,,,,,,
